home_team,away_team,date,score_home,score_away,winner
Wolverhampton,Chelsea,2023-12-24 13:00:00,2,1,1
Newcastle,Nottingham,2023-12-26 12:30:00,1,3,2
Bournemouth,Fulham,2023-12-26 15:00:00,3,0,1
Sheffield Utd,Luton Town,2023-12-26 15:00:00,2,3,2
Burnley,Liverpool,2023-12-26 17:30:00,0,2,2
Man United,Aston Villa,2023-12-26 20:00:00,3,2,1
Brentford,Wolverhampton,2023-12-27 19:30:00,1,4,2
Chelsea,Crystal Palace,2023-12-27 19:30:00,2,1,1
Everton,Man City,2023-12-27 20:15:00,1,3,2
Brighton Hove,Tottenham,2023-12-28 19:30:00,4,2,1
Arsenal,West Ham,2023-12-28 20:15:00,0,2,2
Luton Town,Chelsea,2023-12-30 12:30:00,2,3,2
Aston Villa,Burnley,2023-12-30 15:00:00,3,2,1
Crystal Palace,Brentford,2023-12-30 15:00:00,3,1,1
Man City,Sheffield Utd,2023-12-30 15:00:00,2,0,1
Wolverhampton,Everton,2023-12-30 15:00:00,3,0,1
Nottingham,Man United,2023-12-30 17:30:00,2,1,1
Fulham,Arsenal,2023-12-31 14:00:00,2,1,1
Tottenham,Bournemouth,2023-12-31 14:00:00,3,1,1
Liverpool,Newcastle,2024-01-01 20:00:00,4,2,1
West Ham,Brighton Hove,2024-01-02 19:30:00,0,0,0
Burnley,Luton Town,2024-01-12 19:45:00,1,1,0
Chelsea,Fulham,2024-01-13 12:30:00,1,0,1
Newcastle,Man City,2024-01-13 17:30:00,2,3,2
Everton,Aston Villa,2024-01-14 14:00:00,0,0,0
Man United,Tottenham,2024-01-14 16:30:00,2,2,0
Arsenal,Crystal Palace,2024-01-20 12:30:00,5,0,1
Brentford,Nottingham,2024-01-20 17:30:00,3,2,1
Sheffield Utd,West Ham,2024-01-21 14:00:00,2,2,0
Bournemouth,Liverpool,2024-01-21 16:30:00,0,4,2
Brighton Hove,Wolverhampton,2024-01-22 19:45:00,0,0,0
Nottingham,Arsenal,2024-01-30 19:30:00,1,2,2
Luton Town,Brighton Hove,2024-01-30 19:45:00,4,0,1
Fulham,Everton,2024-01-30 19:45:00,0,0,0
Crystal Palace,Sheffield Utd,2024-01-30 20:00:00,3,2,1
Aston Villa,Newcastle,2024-01-30 20:15:00,1,3,2
Tottenham,Brentford,2024-01-31 19:30:00,3,2,1
Man City,Burnley,2024-01-31 19:30:00,3,1,1
Liverpool,Chelsea,2024-01-31 20:15:00,4,1,1
West Ham,Bournemouth,2024-02-01 19:30:00,1,1,0
Wolverhampton,Man United,2024-02-01 20:15:00,3,4,2
Everton,Tottenham,2024-02-03 12:30:00,2,2,0
Brighton Hove,Crystal Palace,2024-02-03 15:00:00,4,1,1
Burnley,Fulham,2024-02-03 15:00:00,2,2,0
Newcastle,Luton Town,2024-02-03 15:00:00,4,4,0
Sheffield Utd,Aston Villa,2024-02-03 17:30:00,0,5,2
Bournemouth,Nottingham,2024-02-04 14:00:00,1,1,0
Chelsea,Wolverhampton,2024-02-04 14:00:00,2,4,2
Man United,West Ham,2024-02-04 14:00:00,3,0,1
Arsenal,Liverpool,2024-02-04 16:30:00,3,1,1
Brentford,Man City,2024-02-05 20:00:00,1,3,2
Man City,Everton,2024-02-10 12:30:00,2,0,1
Fulham,Bournemouth,2024-02-10 15:00:00,3,1,1
Liverpool,Burnley,2024-02-10 15:00:00,3,1,1
Luton Town,Sheffield Utd,2024-02-10 15:00:00,1,3,2
Tottenham,Brighton Hove,2024-02-10 15:00:00,2,1,1
Wolverhampton,Brentford,2024-02-10 15:00:00,0,2,2
Nottingham,Newcastle,2024-02-10 17:30:00,2,3,2
West Ham,Arsenal,2024-02-11 14:00:00,0,6,2
Aston Villa,Man United,2024-02-11 16:30:00,1,2,2
Crystal Palace,Chelsea,2024-02-12 20:00:00,1,3,2
Brentford,Liverpool,2024-02-17 12:30:00,1,4,2
Burnley,Arsenal,2024-02-17 15:00:00,0,5,2
Fulham,Aston Villa,2024-02-17 15:00:00,1,2,2
Newcastle,Bournemouth,2024-02-17 15:00:00,2,2,0
Nottingham,West Ham,2024-02-17 15:00:00,2,0,1
Tottenham,Wolverhampton,2024-02-17 15:00:00,1,2,2
Man City,Chelsea,2024-02-17 17:30:00,1,1,0
Sheffield Utd,Brighton Hove,2024-02-18 14:00:00,0,5,2
Luton Town,Man United,2024-02-18 16:30:00,1,2,2
Everton,Crystal Palace,2024-02-19 20:00:00,1,1,0
Man City,Brentford,2024-02-20 19:30:00,1,0,1
Liverpool,Luton Town,2024-02-21 19:30:00,4,1,1
Aston Villa,Nottingham,2024-02-24 15:00:00,4,2,1
Brighton Hove,Everton,2024-02-24 15:00:00,1,1,0
Crystal Palace,Burnley,2024-02-24 15:00:00,3,0,1
Man United,Fulham,2024-02-24 15:00:00,1,2,2
Bournemouth,Man City,2024-02-24 17:30:00,0,1,2
Arsenal,Newcastle,2024-02-24 20:00:00,4,1,1
Wolverhampton,Sheffield Utd,2024-02-25 13:30:00,1,0,1
West Ham,Brentford,2024-02-26 20:00:00,4,2,1
Brentford,Chelsea,2024-03-02 15:00:00,2,2,0
Everton,West Ham,2024-03-02 15:00:00,1,3,2
Fulham,Brighton Hove,2024-03-02 15:00:00,3,0,1
Newcastle,Wolverhampton,2024-03-02 15:00:00,3,0,1
Nottingham,Liverpool,2024-03-02 15:00:00,0,1,2
Tottenham,Crystal Palace,2024-03-02 15:00:00,3,1,1
Luton Town,Aston Villa,2024-03-02 17:30:00,2,3,2
Burnley,Bournemouth,2024-03-03 13:00:00,0,2,2
Man City,Man United,2024-03-03 15:30:00,3,1,1
Sheffield Utd,Arsenal,2024-03-04 20:00:00,0,6,2
Man United,Everton,2024-03-09 12:30:00,2,0,1
Bournemouth,Sheffield Utd,2024-03-09 15:00:00,2,2,0
Crystal Palace,Luton Town,2024-03-09 15:00:00,1,1,0
Wolverhampton,Fulham,2024-03-09 15:00:00,2,1,1
Arsenal,Brentford,2024-03-09 17:30:00,2,1,1
Aston Villa,Tottenham,2024-03-10 13:00:00,0,4,2
Brighton Hove,Nottingham,2024-03-10 14:00:00,1,0,1
West Ham,Burnley,2024-03-10 14:00:00,2,2,0
Liverpool,Man City,2024-03-10 15:45:00,1,1,0
Chelsea,Newcastle,2024-03-11 20:00:00,3,2,1
Bournemouth,Luton Town,2024-03-13 19:30:00,4,3,1
Burnley,Brentford,2024-03-16 15:00:00,2,1,1
Luton Town,Nottingham,2024-03-16 15:00:00,1,1,0
Fulham,Tottenham,2024-03-16 17:30:00,3,0,1
West Ham,Aston Villa,2024-03-17 14:00:00,1,1,0
Newcastle,West Ham,2024-03-30 12:30:00,4,3,1
Bournemouth,Everton,2024-03-30 15:00:00,2,1,1
Chelsea,Burnley,2024-03-30 15:00:00,2,2,0
Nottingham,Crystal Palace,2024-03-30 15:00:00,1,1,0
Sheffield Utd,Fulham,2024-03-30 15:00:00,3,3,0
Tottenham,Luton Town,2024-03-30 15:00:00,2,1,1
Aston Villa,Wolverhampton,2024-03-30 17:30:00,2,0,1
Brentford,Man United,2024-03-30 20:00:00,1,1,0
Liverpool,Brighton Hove,2024-03-31 13:00:00,2,1,1
Man City,Arsenal,2024-03-31 15:30:00,0,0,0
Nottingham,Fulham,2024-04-02 18:30:00,3,1,1
Newcastle,Everton,2024-04-02 18:30:00,1,1,0
Bournemouth,Crystal Palace,2024-04-02 18:45:00,1,0,1
Burnley,Wolverhampton,2024-04-02 18:45:00,1,1,0
West Ham,Tottenham,2024-04-02 19:15:00,1,1,0
Arsenal,Luton Town,2024-04-03 18:30:00,2,0,1
Brentford,Brighton Hove,2024-04-03 18:30:00,0,0,0
Man City,Aston Villa,2024-04-03 19:15:00,4,1,1
Liverpool,Sheffield Utd,2024-04-04 18:30:00,3,1,1
Chelsea,Man United,2024-04-04 19:15:00,4,3,1
Crystal Palace,Man City,2024-04-06 11:30:00,2,4,2
Aston Villa,Brentford,2024-04-06 14:00:00,3,3,0
Everton,Burnley,2024-04-06 14:00:00,1,0,1
Fulham,Newcastle,2024-04-06 14:00:00,0,1,2
Luton Town,Bournemouth,2024-04-06 14:00:00,2,1,1
Wolverhampton,West Ham,2024-04-06 14:00:00,1,2,2
Brighton Hove,Arsenal,2024-04-06 16:30:00,0,3,2
Man United,Liverpool,2024-04-07 14:30:00,2,2,0
Sheffield Utd,Chelsea,2024-04-07 16:30:00,2,2,0
Tottenham,Nottingham,2024-04-07 17:00:00,3,1,1
Newcastle,Tottenham,2024-04-13 11:30:00,4,0,1
Brentford,Sheffield Utd,2024-04-13 14:00:00,2,0,1
Burnley,Brighton Hove,2024-04-13 14:00:00,1,1,0
Man City,Luton Town,2024-04-13 14:00:00,5,1,1
Nottingham,Wolverhampton,2024-04-13 14:00:00,2,2,0
Bournemouth,Man United,2024-04-13 16:30:00,2,2,0
Liverpool,Crystal Palace,2024-04-14 13:00:00,0,1,2
West Ham,Fulham,2024-04-14 13:00:00,0,2,2
Arsenal,Aston Villa,2024-04-14 15:30:00,0,2,2
Chelsea,Everton,2024-04-15 19:00:00,6,0,1
Luton Town,Brentford,2024-04-20 14:00:00,1,5,2
Sheffield Utd,Burnley,2024-04-20 14:00:00,1,4,2
Wolverhampton,Arsenal,2024-04-20 18:30:00,0,2,2
Everton,Nottingham,2024-04-21 12:30:00,2,0,1
Aston Villa,Bournemouth,2024-04-21 14:00:00,3,1,1
Crystal Palace,West Ham,2024-04-21 14:00:00,5,2,1
Fulham,Liverpool,2024-04-21 15:30:00,1,3,2
Arsenal,Chelsea,2024-04-23 19:00:00,5,0,1
Wolverhampton,Bournemouth,2024-04-24 18:45:00,0,1,2
Crystal Palace,Newcastle,2024-04-24 19:00:00,2,0,1
Everton,Liverpool,2024-04-24 19:00:00,2,0,1
Man United,Sheffield Utd,2024-04-24 19:00:00,4,2,1
Brighton Hove,Man City,2024-04-25 19:00:00,0,4,2
West Ham,Liverpool,2024-04-27 11:30:00,2,2,0
Fulham,Crystal Palace,2024-04-27 14:00:00,1,1,0
Man United,Burnley,2024-04-27 14:00:00,1,1,0
Newcastle,Sheffield Utd,2024-04-27 14:00:00,5,1,1
Wolverhampton,Luton Town,2024-04-27 14:00:00,2,1,1
Everton,Brentford,2024-04-27 16:30:00,1,0,1
Aston Villa,Chelsea,2024-04-27 19:00:00,2,2,0
Bournemouth,Brighton Hove,2024-04-28 13:00:00,3,0,1
Tottenham,Arsenal,2024-04-28 13:00:00,2,3,2
Nottingham,Man City,2024-04-28 15:30:00,0,2,2
Chelsea,Tottenham,2024-05-02 18:30:00,2,0,1
Luton Town,Everton,2024-05-03 19:00:00,1,1,0
Arsenal,Bournemouth,2024-05-04 11:30:00,3,0,1
Brentford,Fulham,2024-05-04 14:00:00,0,0,0
Burnley,Newcastle,2024-05-04 14:00:00,1,4,2
Sheffield Utd,Nottingham,2024-05-04 14:00:00,1,3,2
Man City,Wolverhampton,2024-05-04 16:30:00,5,1,1
Brighton Hove,Aston Villa,2024-05-05 13:00:00,1,0,1
Chelsea,West Ham,2024-05-05 13:00:00,5,0,1
Liverpool,Tottenham,2024-05-05 15:30:00,4,2,1
Crystal Palace,Man United,2024-05-06 19:00:00,4,0,1
Fulham,Man City,2024-05-11 11:30:00,0,4,2
Bournemouth,Brentford,2024-05-11 14:00:00,1,2,2
Everton,Sheffield Utd,2024-05-11 14:00:00,1,0,1
Newcastle,Brighton Hove,2024-05-11 14:00:00,1,1,0
